CaseID,Status,Category,Neighborhood,Latitude,Longitude,OpenedDate,ClosedDate,days_open
101006640495,Open,Abandoned Bicycle,Allston / Brighton,42.35306000000016,-71.1342900012644,2026-05-12 07:47:33.593,,108.67530563657407
101006652910,Open,Abandoned Bicycle,Allston / Brighton,42.35322739207995,-71.13444345031009,2026-05-22 14:22:15.257,,98.40121230324075
101006655204,Open,Abandoned Bicycle,Allston / Brighton,42.35306000000016,-71.1342900012644,2026-05-25 22:27:46.627,,95.06404366898148
101006678290,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-05-28 07:10:12.993,,92.70123850694445
101006679222,Open,Abandoned Bicycle,Allston / Brighton,42.33973999996939,-71.15123000102524,2026-05-28 18:31:31.277,,92.2281102199074
101006687591,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-06-04 14:06:53.86,,85.41187662037036
101006695237,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-06-11 07:44:05.37,,78.677715625
101006700148,Open,Abandoned Bicycle,Allston / Brighton,42.338329999724465,-71.14669000128869,2026-06-15 18:18:29.407,,74.2371596412037
101006703053,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-06-18 07:18:41.95,,71.69534780092593
101006703737,Open,Abandoned Bicycle,Allston / Brighton,42.35157999986466,-71.12888000138979,2026-06-18 14:20:16.743,,71.40258399305556
101006709623,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-06-25 07:16:42.213,,64.69673364583333
101006710812,Open,Abandoned Bicycle,Allston / Brighton,42.35320074604386,-71.13193972041127,2026-06-27 17:49:59.603,,62.25694903935185
101006710923,Open,Abandoned Bicycle,Allston / Brighton,42.34024099968131,-71.15640500125467,2026-06-28 07:37:35.47,,61.68222835648148
101006712658,Open,Abandoned Bicycle,Allston / Brighton,42.3507924792524,-71.13614631822202,2026-07-01 15:40:51.047,,58.34663140046296
101006715120,Open,Abandoned Bicycle,Allston / Brighton,42.339223668476976,-71.1470580109292,2026-07-08 11:05:22.747,,51.53793116898148
101006716083,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-07-10 05:33:36.047,,49.76833278935185
101006716563,Open,Abandoned Bicycle,Allston / Brighton,42.35081000034318,-71.13072400095632,2026-07-10 21:01:14.403,,49.12413885416667
101006717733,Open,Abandoned Bicycle,Allston / Brighton,42.34609000040294,-71.15514000139852,2026-07-13 13:18:12.523,,46.4456883912037
101006718900,Open,Abandoned Bicycle,Allston / Brighton,42.34613199923198,-71.13729914826745,2026-07-15 19:44:32.49,,44.17740173611111
101006719003,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-07-16 05:51:43.74,,43.75574375
101006721394,Open,Abandoned Bicycle,Allston / Brighton,42.35410999957712,-71.12951000165248,2026-07-21 08:55:05.097,,38.62841322916667
101006721658,Open,Abandoned Bicycle,Allston / Brighton,42.35356999986584,-71.14226000122719,2026-07-21 15:26:46.48,,38.35640648148148
101006722451,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-07-23 08:29:27.243,,36.64621246527778
101006725765,Open,Abandoned Bicycle,Allston / Brighton,42.34283999987653,-71.15081000144978,2026-07-30 08:20:11.96,,29.652639351851853
101006726047,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-07-30 15:19:50.197,,29.36122457175926
101006729314,Open,Abandoned Bicycle,Allston / Brighton,42.34608999980939,-71.15514000126538,2026-08-05 11:57:44.09,,23.501573032407407
101006729732,Open,Abandoned Bicycle,Allston / Brighton,42.3592916146316,-71.13034697391937,2026-08-06 07:46:14.783,,22.676217789351853
101006731360,Open,Abandoned Bicycle,Allston / Brighton,42.33929179680798,-71.15178388362875,2026-08-09 10:46:34.347,,19.550991354166666
101006731362,Open,Abandoned Bicycle,Allston / Brighton,42.339599999811085,-71.15138000164445,2026-08-09 10:49:31.043,,19.548946261574073
101006731363,Open,Abandoned Bicycle,Allston / Brighton,42.33973999996939,-71.15123000102524,2026-08-09 10:50:21.18,,19.54836597222222
101006731364,Open,Abandoned Bicycle,Allston / Brighton,42.339840000082425,-71.15105000082184,2026-08-09 10:51:15.47,,19.54773761574074
101006731399,Open,Abandoned Bicycle,Allston / Brighton,42.339223668476976,-71.1470580109292,2026-08-09 11:43:51.3,,19.511211805555554
101006734788,Open,Abandoned Bicycle,Allston / Brighton,42.34864000013836,-71.13084000090757,2026-08-16 13:06:15.76,,12.45398425925926
101006736058,Open,Abandoned Bicycle,Allston / Brighton,42.338329999724465,-71.14669000128869,2026-08-18 18:23:27.08,,10.233714351851852
101006651100,Open,Abandoned Bicycle,Back Bay,42.354894999790666,-71.07247500125231,2026-05-21 08:21:29.09,,99.65174664351852
101006683671,Open,Abandoned Bicycle,Back Bay,42.34975999960624,-71.08924000154367,2026-06-01 20:11:47.147,,88.15848209490741
101006691173,Open,Abandoned Bicycle,Back Bay,42.34838299998315,-71.08777600150735,2026-06-08 06:56:15.667,,81.71092978009258
101006695780,Open,Abandoned Bicycle,Back Bay,42.35192000024962,-71.07977000118032,2026-06-11 13:47:56.493,,78.42504059027777
101006695856,Open,Abandoned Bicycle,Back Bay,42.35192000024962,-71.07977000118032,2026-06-11 14:55:42.21,,78.37798368055556
101006695952,Open,Abandoned Bicycle,Back Bay,42.34999000031599,-71.08185000083378,2026-06-11 16:00:15.64,,78.33315231481482
101006698895,Open,Abandoned Bicycle,Back Bay,42.35001000033861,-71.0817700016426,2026-06-14 19:30:16.23,,75.18731215277778
101006700840,Open,Abandoned Bicycle,Back Bay,42.34997999985496,-71.08843000107777,2026-06-16 12:10:39.877,,73.4925940162037
101006702035,Open,Abandoned Bicycle,Back Bay,42.34962000034752,-71.06937000111448,2026-06-17 10:15:49.74,,72.57234097222222
101006702382,Open,Abandoned Bicycle,Back Bay,42.35001000033861,-71.0817700016426,2026-06-17 14:10:03.26,,72.40968449074074
101006705022,Open,Abandoned Bicycle,Back Bay,42.34363000032077,-71.08096000117649,2026-06-20 00:05:38.637,,69.99608059027777
101006709366,Open,Abandoned Bicycle,Back Bay,42.34838299998315,-71.08777600150735,2026-06-24 15:24:13.437,,65.3581778125
101006709996,Open,Abandoned Bicycle,Back Bay,42.34838299998315,-71.08777600150735,2026-06-25 19:02:31.327,,64.20658186342592
101006710389,Open,Abandoned Bicycle,Back Bay,42.34910379428007,-71.07726506763154,2026-06-26 14:46:19.087,,63.384501307870366
101006710773,Open,Abandoned Bicycle,Back Bay,42.34238999981828,-71.08350000134976,2026-06-27 16:08:30.663,,62.32742288194445
101006713052,Open,Abandoned Bicycle,Back Bay,42.34975999960624,-71.08924000154367,2026-07-02 13:31:37.617,,57.43637017361112
101006713577,Open,Abandoned Bicycle,Back Bay,42.34231269850521,-71.08289824316356,2026-07-04 10:31:54.2,,55.56117824074074
101006713857,Open,Abandoned Bicycle,Back Bay,42.3534869996379,-71.07874700078828,2026-07-05 13:00:33.5,,54.457945601851854
101006714817,Open,Abandoned Bicycle,Back Bay,42.35440846263027,-71.07460337105695,2026-07-07 16:35:28.527,,52.30869760416667
101006714867,Open,Abandoned Bicycle,Back Bay,42.35295000006503,-71.07592000087482,2026-07-07 18:35:28.373,,52.22536605324075
101006715263,Open,Abandoned Bicycle,Back Bay,42.35295000006503,-71.07592000087482,2026-07-08 15:08:13.75,,51.369285300925924
101006718711,Open,Abandoned Bicycle,Back Bay,42.355555892461595,-71.07204856824598,2026-07-15 12:47:47.42,,44.46681226851852
101006720149,Open,Abandoned Bicycle,Back Bay,42.355555892461595,-71.07204856824598,2026-07-18 09:14:37.977,,41.614838229166665
101006720539,Open,Abandoned Bicycle,Back Bay,42.34910379428007,-71.07726506763154,2026-07-19 13:49:18.107,,40.4240959837963
101006722541,Open,Abandoned Bicycle,Back Bay,42.35001999990017,-71.08834000142564,2026-07-23 10:45:46.217,,36.55154841435185
101006722605,Open,Abandoned Bicycle,Back Bay,42.35534524320579,-71.0728126924723,2026-07-23 12:43:43.033,,36.46964082175926
101006723808,Open,Abandoned Bicycle,Back Bay,42.34981822623647,-71.0892683380609,2026-07-26 13:28:32.727,,33.43851010416667
101006727448,Open,Abandoned Bicycle,Back Bay,42.35481999993075,-71.0737800011537,2026-08-02 10:53:45.96,,26.545995833333333
101006727671,Open,Abandoned Bicycle,Back Bay,42.34910379428007,-71.07726506763154,2026-08-02 18:21:37.597,,26.234981516203703
101006729571,Open,Abandoned Bicycle,Back Bay,42.348399999867624,-71.0710300011924,2026-08-05 18:05:02.537,,23.24649841435185
101006732779,Open,Abandoned Bicycle,Back Bay,42.34910379428007,-71.07726506763154,2026-08-12 08:18:57.937,,16.653496099537037
101006734718,Open,Abandoned Bicycle,Back Bay,42.34981822623647,-71.0892683380609,2026-08-16 08:29:48.943,,12.64596130787037
101006734974,Open,Abandoned Bicycle,Back Bay,42.35084441053235,-71.08276009089005,2026-08-16 19:27:57.497,,12.188917858796296
101006682003,Open,Abandoned Bicycle,Beacon Hill,42.36085999956439,-71.06589000167715,2026-05-31 13:31:26.45,,89.43649942129629
101006684961,Open,Abandoned Bicycle,Beacon Hill,42.36039999994358,-71.06677000087329,2026-06-02 17:34:21.273,,87.26780934027778
101006685521,Open,Abandoned Bicycle,Beacon Hill,42.36098583948782,-71.06661067067967,2026-06-03 08:02:58.653,,86.66459892361111
101006687003,Open,Abandoned Bicycle,Beacon Hill,42.360469999573134,-71.06649000145627,2026-06-04 08:13:12.047,,85.65749945601851
101006691245,Open,Abandoned Bicycle,Beacon Hill,42.36098583948782,-71.06661067067967,2026-06-08 07:51:19.073,,81.67269591435185
101006691260,Open,Abandoned Bicycle,Beacon Hill,42.360519999908725,-71.06649000124035,2026-06-08 08:00:51.41,,81.66607164351852
101006694064,Open,Abandoned Bicycle,Beacon Hill,42.360469999573134,-71.06649000145627,2026-06-10 08:56:58.05,,79.62710590277779
101006701834,Open,Abandoned Bicycle,Beacon Hill,42.360469999573134,-71.06649000145627,2026-06-17 08:09:34.077,,72.66002225694444
101006704725,Open,Abandoned Bicycle,Beacon Hill,42.36018768892472,-71.06990889952449,2026-06-19 14:40:04.533,,70.38883642361111
101006706725,Open,Abandoned Bicycle,Beacon Hill,42.35736999966589,-71.06884000096512,2026-06-22 09:37:59.05,,67.59862210648149
101006708967,Open,Abandoned Bicycle,Beacon Hill,42.36033510353934,-71.06636241737027,2026-06-24 08:16:55.727,,65.65491056712963
101006711132,Open,Abandoned Bicycle,Beacon Hill,42.35935000010562,-71.06843000095115,2026-06-28 18:06:35.413,,61.245423460648155
101006713589,Open,Abandoned Bicycle,Beacon Hill,42.360469999573134,-71.06649000145627,2026-07-04 11:16:57.163,,55.529893946759266
101006715033,Open,Abandoned Bicycle,Beacon Hill,42.35286842222725,-71.06759879484586,2026-07-08 08:30:28.347,,51.64550524305555
101006727420,Open,Abandoned Bicycle,Beacon Hill,42.356374999665185,-71.07100500093931,2026-08-02 10:15:44.16,,26.572405555555555
101006727763,Open,Abandoned Bicycle,Beacon Hill,42.35771899956577,-71.06741300083574,2026-08-03 00:07:56.013,,25.99449059027778
101006729019,Open,Abandoned Bicycle,Beacon Hill,42.36170999991873,-71.06536000126555,2026-08-05 07:17:36.727,,23.696102696759258
101006731994,Open,Abandoned Bicycle,Beacon Hill,42.36084000044098,-71.06680100140309,2026-08-10 17:25:25.327,,18.27401241898148
101006733037,Open,Abandoned Bicycle,Beacon Hill,42.359530000309086,-71.0661600015328,2026-08-12 15:21:34.05,,16.360022569444443
101006735353,Open,Abandoned Bicycle,Beacon Hill,42.35966999956801,-71.06708000167347,2026-08-17 14:39:45.487,,11.389056863425926
101006639979,Open,Abandoned Bicycle,Boston,42.351713458229696,-71.07597453130111,2026-05-11 16:16:33.727,,109.32183186342593
101006648683,Open,Abandoned Bicycle,Boston,42.34877698100539,-71.04683839107336,2026-05-19 13:46:41.333,,101.42591049768518
101006648730,Open,Abandoned Bicycle,Boston,42.34874682376767,-71.04677571881598,2026-05-19 14:26:44.333,,101.39809799768518
101006655438,Open,Abandoned Bicycle,Boston,42.35346000019205,-71.06397000130522,2026-05-26 07:37:26.867,,94.68232792824074
101006656098,Open,Abandoned Bicycle,Boston,42.3490013440061,-71.04674908416264,2026-05-26 13:08:37.4,,94.45234490740741
101006680154,Open,Abandoned Bicycle,Boston,42.34364611470112,-71.10201631540882,2026-05-29 14:17:27.783,,91.40453954861111
101006685867,Open,Abandoned Bicycle,Boston,42.346126284445425,-71.07454476899154,2026-06-03 10:50:20.247,,86.54837677083333
101006692629,Open,Abandoned Bicycle,Boston,42.346126284445425,-71.07454476899154,2026-06-09 08:40:33.323,,80.63850320601853
101006694269,Open,Abandoned Bicycle,Boston,42.35266431525245,-71.05356650166298,2026-06-10 11:02:21.957,,79.54002364583333
101006695118,Open,Abandoned Bicycle,Boston,42.350091360736414,-71.04714156094329,2026-06-10 23:50:11.737,,79.00680859953704
101006695382,Open,Abandoned Bicycle,Boston,42.35851950059919,-71.05979927830462,2026-06-11 09:19:22.57,,78.6115443287037
101006705670,Open,Abandoned Bicycle,Boston,42.346126284445425,-71.07454476899154,2026-06-20 22:17:34.83,,69.07112465277778
101006713575,Open,Abandoned Bicycle,Boston,42.34114677364463,-71.08747573410169,2026-07-04 10:29:01.76,,55.56317407407408
101006715097,Open,Abandoned Bicycle,Boston,42.3512073789781,-71.04326982459364,2026-07-08 10:23:51.573,,51.56676420138889
101006715977,Open,Abandoned Bicycle,Boston,42.346126284445425,-71.07454476899154,2026-07-09 19:16:08.587,,50.197122835648145
101006716215,Open,Abandoned Bicycle,Boston,42.36567901400411,-71.05930591652532,2026-07-10 09:43:39.923,,49.594676817129624
101006718551,Open,Abandoned Bicycle,Boston,42.34716114788596,-71.08740174012621,2026-07-15 08:26:24.223,,44.64833075231481
101006718662,Open,Abandoned Bicycle,Boston,42.346126284445425,-71.07454476899154,2026-07-15 11:25:17.583,,44.52410204861111
101006719769,Open,Abandoned Bicycle,Boston,42.3523168319702,-71.04730353649755,2026-07-17 12:02:39.387,,42.49815524305556
101006719987,Open,Abandoned Bicycle,Boston,42.36754388767832,-71.05260577855198,2026-07-17 18:25:23.77,,42.23236377314815
101006720364,Open,Abandoned Bicycle,Boston,42.346126284445425,-71.07454476899154,2026-07-18 19:51:24.067,,41.172638113425926
101006722340,Open,Abandoned Bicycle,Boston,42.348894873810806,-71.04694362568645,2026-07-22 21:08:39.09,,37.11899201388889
101006722920,Open,Abandoned Bicycle,Boston,42.36029492862369,-71.05827005696099,2026-07-23 22:05:18.31,,36.079649189814816
101006727170,Open,Abandoned Bicycle,Boston,42.34525900000745,-71.07471400121445,2026-08-01 15:16:55.43,,27.36324733796296
101006728886,Open,Abandoned Bicycle,Boston,42.35133215238105,-71.1138137278681,2026-08-04 19:14:44.227,,24.19809922453704
101006730872,Open,Abandoned Bicycle,Boston,42.36773118091651,-71.05345905735852,2026-08-07 18:52:49.157,,21.21331994212963
101006731007,Open,Abandoned Bicycle,Boston,42.34170000036776,-71.09138000126843,2026-08-08 08:41:11.54,,20.63806087962963
101006732777,Open,Abandoned Bicycle,Boston,42.35057000005556,-71.0779700009798,2026-08-12 08:17:57.117,,16.654200034722223
101006732995,Open,Abandoned Bicycle,Boston,42.34878708236896,-71.04678748033275,2026-08-12 13:58:43.02,,16.417557638888887
101006733155,Open,Abandoned Bicycle,Boston,42.34875383769321,-71.04659218808469,2026-08-12 18:03:55.183,,16.247277974537038
101006733851,Open,Abandoned Bicycle,Boston,42.36773118091651,-71.05345905735852,2026-08-14 06:04:58.687,,14.746542974537038
101006733904,Open,Abandoned Bicycle,Boston,42.34716114788596,-71.08740174012621,2026-08-14 08:24:04.613,,14.649946608796297
101006733939,Open,Abandoned Bicycle,Boston,42.34170000036776,-71.09138000126843,2026-08-14 09:21:37.977,,14.609977118055555
101006731138,Open,Abandoned Bicycle,Brighton,42.34027696310285,-71.15267649695217,2026-08-08 14:13:06.653,,20.407561886574076
101006731521,Open,Abandoned Bicycle,Brighton,42.33823368806133,-71.15228346290557,2026-08-09 19:14:58.703,,19.197931678240742
101006734623,Open,Abandoned Bicycle,Brighton,42.34337582667942,-71.14193915175534,2026-08-15 19:17:49.667,,13.195952928240741
101006707083,Open,Abandoned Bicycle,Charlestown,42.38191000042817,-71.0702400016489,2026-06-22 13:11:14.19,,67.45053020833333
101006710553,Open,Abandoned Bicycle,Charlestown,42.373974266685174,-71.06533518334196,2026-06-26 21:59:59.34,,63.083340972222224
101006721933,Open,Abandoned Bicycle,Charlestown,42.381610000089125,-71.06526000141511,2026-07-22 09:21:22.41,,37.61015729166667
101006728387,Open,Abandoned Bicycle,Charlestown,42.376339195416946,-71.05836778578885,2026-08-04 07:54:55.403,,24.670192094907406
101006730082,Open,Abandoned Bicycle,Charlestown,42.37311999993424,-71.06437000085846,2026-08-06 15:03:37.887,,22.37247815972222
101006730850,Open,Abandoned Bicycle,Charlestown,42.37497483625104,-71.06397807761783,2026-08-07 17:45:09.633,,21.260305173611112
101006649227,Open,Abandoned Bicycle,Dorchester,42.30404999964322,-71.0687300012895,2026-05-19 20:35:06.723,,101.14228329861112
101006685908,Open,Abandoned Bicycle,Dorchester,42.28939000015772,-71.05506000157352,2026-06-03 11:13:20.603,,86.53240042824073
101006704560,Open,Abandoned Bicycle,Dorchester,42.28818000013881,-71.05390000116144,2026-06-19 11:47:44.15,,70.5085167824074
101006705219,Open,Abandoned Bicycle,Dorchester,42.28854322999674,-71.05433880127792,2026-06-20 09:58:53.447,,69.58410362268519
101006713905,Open,Abandoned Bicycle,Dorchester,42.286326158898554,-71.07487791527315,2026-07-05 15:53:31.863,,54.33782565972222
101006714741,Open,Abandoned Bicycle,Dorchester,42.31856000030854,-71.05413000097238,2026-07-07 13:52:00.987,,52.42221079861111
101006726197,Open,Abandoned Bicycle,Dorchester,42.29696000017173,-71.06609000100282,2026-07-30 18:45:31.107,,29.21838996527778
101006726476,Open,Abandoned Bicycle,Dorchester,42.27607999994962,-71.06978000112687,2026-07-31 09:57:01.71,,28.585396875
101006731310,Open,Abandoned Bicycle,Dorchester,42.31463296139662,-71.09104308638324,2026-08-09 08:52:05.47,,19.63049224537037
101006731314,Open,Abandoned Bicycle,Dorchester,42.31451659894896,-71.09111011419259,2026-08-09 08:52:25.287,,19.630262881944443
101006639146,Open,Abandoned Bicycle,Downtown / Financial District,42.36675000037738,-71.0535200016328,2026-05-11 06:22:02.057,,109.73469841435185
